deletion_position,deletion_identity,deletion_support_sha256,layer,order_k,subset_mask,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,1,37,2560,1,7362,6596,209,557,825,1000,0.6957619190216064,0.7444551785786947,0.37111644448403686,2.43904185295105
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,2,11,2560,1,7362,6596,209,557,600,850,1.0587483644485474,1.0400476455688477,0.42343893479781625,3.6278717517852783
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,2,23,2560,1,7362,6596,209,557,875,1000,1.1837670654058456,1.2615545988082886,0.4750394249403197,5.769182205200195
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,2,37,2560,1,7362,6596,209,557,775,1000,1.1171810626983643,1.1167081594467163,0.4410868441943744,4.787358283996582
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,3,11,2560,1,7362,6596,209,557,900,1000,0.6951829195022583,0.6338162372509638,0.3118631252060552,2.868943929672241
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,3,23,2560,1,7362,6596,209,557,450,700,0.5288068652153015,0.44599198301633197,0.3237169515226925,1.9937262535095215
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,2,3,37,2560,1,7362,6596,209,557,900,1000,0.7113844156265259,0.6222827633221945,0.3102870198402458,2.953886032104492
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,4,11,2560,1,7362,6596,209,557,975,1000,1.0337034314870834,-0.4225419759750366,2.0602040989947605,4.249513149261475
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,4,23,2560,1,7362,6596,209,557,1000,1000,1.116351842880249,1.1396412750085194,0.23809658526153313,4.808664798736572
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,4,37,2560,1,7362,6596,209,557,1000,1000,1.194780945777893,1.143912782271703,0.2624826807206948,4.669647216796875
