layer,order_k,subset_mask,score_mean,critic_seed_sd,n_critic_seeds
8,2,12,1.0151521861553192,0.03435743220117704,3
8,3,13,0.7169027775526047,0.04358390363580412,3
8,3,14,0.9561985871858067,0.07272724686483253,3
8,4,15,0.4679595347907808,0.29850363446867423,3
9,1,1,0.7805253929562038,0.08579000547716353,3
9,1,2,1.223576002650791,0.04280640024622929,3
9,2,3,0.5481607053014966,0.44069907251159257,3
9,1,4,1.0314592454168532,0.12715596092104514,3
9,2,5,0.6936221023400625,0.10112650605486738,3
9,2,6,1.0434425738122728,0.00999838543206246,3
9,3,7,0.6858340029915174,0.012781093739305428,3
9,1,8,1.1277644104427764,0.011741125228769356,3
9,2,9,0.8450714217291937,0.0838086635679507,3
9,2,10,1.02591420047813,0.1427716274736911,3
9,3,11,0.4804198675685459,0.2779986567740708,3
9,2,12,1.0352846516503227,0.11072461445011127,3
9,3,13,0.6745034000939792,0.11664247858103012,3
9,3,14,1.0547240260574553,0.07526994978553687,3
9,4,15,0.3227751900752385,0.06160952257706264,3
10,1,1,0.8543324735429553,0.06354677697260379,3
10,1,2,1.1548993123902216,0.08242301742399762,3
10,2,3,0.8028234408961402,0.06220084434211448,3
10,1,4,0.9035091333919101,0.23451310236340808,3
10,2,5,0.7990622123082479,0.023978593554482466,3
10,2,6,1.1008366213904486,0.062369225450954635,3
10,3,7,0.515128481719229,0.374964134393565,3
10,1,8,1.078455302450392,0.10721116157978003,3
10,2,9,0.7727044423421224,0.011361922958322262,3
10,2,10,1.0343196905321543,0.08695813356793901,3
10,3,11,-0.1882684388094478,0.8574896640045383,3
10,2,12,1.0577230122354295,0.061676137825630584,3
10,3,13,0.7802956451972326,0.04929308051746447,3
10,3,14,1.0403108596801758,0.027553763882109495,3
10,4,15,0.4883086846934425,0.07690550517917565,3
11,1,1,0.8323245180977715,0.03757950140851683,3
11,1,2,1.3004413445790608,0.03092482997206288,3
11,2,3,0.705001425411966,0.18535090319956615,3
11,1,4,1.0266517930560641,0.07433917328067872,3
11,2,5,0.7960567557149463,0.02603707394479057,3
11,2,6,1.0301614784532123,0.08303814058840267,3
11,3,7,0.5146549211608039,0.33011083844939165,3
11,1,8,1.1688688331180146,0.04108047211846758,3
11,2,9,0.8638031085332235,0.06760172633646049,3
11,2,10,1.1025610102547538,0.11603579382177158,3
11,3,11,0.29623831311861676,0.09629081089555008,3
11,2,12,1.0359694825278387,0.08922689496514077,3
11,3,13,0.779621837867631,0.042548966498087745,3
