layer,order_k,subset_mask,score_mean,critic_seed_sd,score_min,score_max,mean_best_val,mean_best_step,mean_final_training_step,mean_product_shuffle_sd,mean_joint_minus_mismatch_score
5,2,9,0.8096654050880008,0.015388106433893614,0.7960222164789835,0.8263455679019293,0.7602323219180107,975.0,1000.0,0.23074597676396316,3.270197550455729
5,2,10,0.9339905265304779,0.08903040404697228,0.8652719259262085,1.0345671077569325,1.1360255032777786,891.6666666666666,1000.0,0.3133424455249349,4.624837398529053
5,2,12,0.9825061692131891,0.021343114085666578,0.960793137550354,1.003459056218465,0.8149838199218115,850.0,1000.0,0.1940975201153334,4.306611696879069
5,3,7,0.6239241328504351,0.045237226078542254,0.5719436903794607,0.6543788611888885,0.7147602637608846,841.6666666666666,1000.0,0.36955286397451825,3.0983007748921714
5,3,11,0.5500192840894064,0.13184441186212467,0.44301160673300427,0.6973046064376831,0.7616850895186266,825.0,983.3333333333334,0.4143426983034519,3.2241260210673013
5,3,13,0.7061387515730327,0.09441144154879,0.5985722045103709,0.7752712517976761,0.7406263376275698,858.3333333333334,1000.0,0.27198162221656047,2.5807313919067383
5,3,14,0.8541646409365865,0.0825630797768646,0.7600782290101051,0.9145297259092331,0.901966504752636,925.0,1000.0,0.3698795145175744,4.937933603922526
5,4,15,0.6653693550162845,0.052760355683688406,0.6045688887437185,0.6991061444083849,0.8201691930492719,975.0,1000.0,0.3805113658850415,4.360258420308431
6,1,1,0.7668347325589923,0.1027567053773879,0.691590815782547,0.8839092254638672,0.7141537914673487,858.3333333333334,966.6666666666666,0.39165783716992725,2.7129664421081543
6,1,2,0.9462317360772028,0.04513367684036343,0.8944679498672485,0.9773511489232382,1.194257731239001,808.3333333333334,983.3333333333334,0.40128308548423747,5.498684565226237
6,1,4,1.0069383482138317,0.08423723154000413,0.9133005142211914,1.076558103164037,1.0364043712615967,908.3333333333334,1000.0,0.21758928583685522,4.335749864578247
6,1,8,0.9930447108215756,0.07907966568301347,0.9424018065134684,1.0841693977514903,1.0314349631468456,858.3333333333334,958.3333333333334,0.21320976718078236,4.099790096282959
6,2,3,0.7570493353737725,0.05810478825641123,0.7156801621119181,0.8234789768854777,0.83749970048666,941.6666666666666,1000.0,0.4215200547704184,3.6627734502156577
