layer,order_k,subset_mask,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
2,3,11,11,2560,1,8210,7352,245,613,900,1000,0.7903424426913261,0.5867354571819305,0.4192026970899551,3.2833142280578613
2,3,11,23,2560,1,8210,7352,245,613,800,1000,0.8034399822354317,0.5962429443995158,0.284270981878199,3.047818660736084
2,3,11,37,2560,1,8210,7352,245,613,1000,1000,0.7969683408737183,0.5269842942555746,0.7246756032787949,3.6092658042907715
2,3,13,11,2560,1,8210,7352,245,613,1000,1000,0.7239867523312569,0.5182570690910021,0.30422356569308145,2.5296356678009033
2,3,13,23,2560,1,8210,7352,245,613,750,1000,0.7141415998339653,0.7042364726463953,0.24778729607964517,2.264949321746826
2,3,13,37,2560,1,8210,7352,245,613,950,1000,0.7650860548019409,0.7319837013880411,0.2612131473618502,2.9045119285583496
2,3,14,11,2560,1,8210,7352,245,613,975,1000,0.9664151668548584,0.8502227117617925,0.3470243712775849,4.93707799911499
2,3,14,23,2560,1,8210,7352,245,613,900,1000,0.9096997678279877,0.8823918799559275,0.31834822564973697,4.59673547744751
2,3,14,37,2560,1,8210,7352,245,613,1000,1000,0.8600907325744629,0.796156128247579,0.2735239258789114,4.75458288192749
2,4,15,11,2560,1,8210,7352,245,613,400,650,0.5143188871443272,0.39560048033793765,0.27520902886641063,1.9152106046676636
2,4,15,23,2560,1,8210,7352,245,613,950,1000,0.7779984548687935,0.625543455282847,0.29411623742879395,4.247865200042725
2,4,15,37,2560,1,8210,7352,245,613,975,1000,0.7736163586378098,0.6366687019666036,0.27943269380213515,4.421138286590576
3,1,1,11,2560,1,8210,7352,245,613,800,1000,0.6480131149291992,0.7560837268829346,0.3571456673107463,2.401144504547119
3,1,1,23,2560,1,8210,7352,245,613,950,1000,0.708142563700676,0.7572792371114095,0.40939861199012806,2.8829143047332764
3,1,1,37,2560,1,8210,7352,245,613,950,1000,0.7814439535140991,0.8509450753529867,0.43433842114192583,2.810899257659912
3,1,2,11,2560,1,8210,7352,245,613,675,925,1.1230096817016602,0.9493428468704224,0.364061898820713,4.2083234786987305
3,1,2,23,2560,1,8210,7352,245,613,975,1000,1.3086814880371094,1.134710431098938,0.42366633788581126,6.650639533996582
3,1,2,37,2560,1,8210,7352,245,613,975,1000,1.2013254016637802,1.1142390569051106,0.4531009479204034,6.252768516540527
3,1,4,11,2560,1,8210,7352,245,613,975,1000,1.0417556911706924,0.9214569330215454,0.23065419731425912,4.203084468841553
3,1,4,23,2560,1,8210,7352,245,613,950,1000,1.0586397647857666,1.0785133043924968,0.1873735355704551,4.883092880249023
3,1,4,37,2560,1,8210,7352,245,613,1000,1000,1.1693880558013916,0.9286092122395834,0.27504622184501787,5.01873779296875
3,1,8,11,2560,1,8210,7352,245,613,900,1000,0.9330730438232422,0.9289348522822062,0.1998423140773475,3.6141061782836914
3,1,8,23,2560,1,8210,7352,245,613,950,1000,0.9922679662704468,1.0238663752873738,0.22074049321705458,4.288377285003662
3,1,8,37,2560,1,8210,7352,245,613,950,1000,0.9218161106109619,0.9542199373245239,0.21694421847453468,4.131192207336426
3,2,3,11,2560,1,8210,7352,245,613,975,1000,0.7768931463360786,0.7365675469239553,0.3410859172116699,3.736316680908203
3,2,3,23,2560,1,8210,7352,245,613,975,1000,0.7456419169902802,-0.004004607597986857,1.3979750344062154,3.497152805328369
3,2,3,37,2560,1,8210,7352,245,613,875,1000,0.7859972789883614,0.68487648665905,0.346240052076075,3.6766908168792725
3,2,5,11,2560,1,8210,7352,245,613,825,1000,0.5980030298233032,0.507858802874883,0.3630960427902788,2.18326997756958
3,2,5,23,2560,1,8210,7352,245,613,800,1000,0.622135516256094,0.597327950100104,0.28373884079932254,2.0937695503234863
3,2,5,37,2560,1,8210,7352,245,613,975,1000,0.6300109028816223,0.6180601219336191,0.2764687284356106,2.41852068901062
