critic_seed,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score,pairing_sensitivity_original_cyclic_shift_mean,pairing_sensitivity_original_cyclic_shift_sd,pairing_sensitivity_derandomized_shift_mean,pairing_sensitivity_derandomized_shift_sd,pairing_sensitivity_full_permutation_mean,pairing_sensitivity_full_permutation_sd,pairing_sensitivity_cyclic_vs_derandomized_gap,pairing_sensitivity_cyclic_vs_full_permutation_gap,layer,subset_mask,order_k,representation_dim,n_train,n_val,n_test,run_fingerprint
11,25,275,7.450580596923828e-09,-4.78699803352356e-07,0.0,0.0,-4.78699803352356e-07,0.0,-4.78699803352356e-07,0.0,-4.78699803352356e-07,0.0,0.0,0.0,0,10,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,25,275,2.5331974029541016e-07,-9.437402089436849e-08,1.777067166566682e-07,0.0,-9.437402089436849e-08,1.777067166566682e-07,-9.437402089436849e-08,1.777067166566682e-07,-7.450580596923828e-08,1.5769906706002895e-07,0.0,1.9868214925130204e-08,0,10,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,4.6193599700927734e-07,9.189049402872722e-08,1.777067166566682e-07,0.0,9.189049402872722e-08,1.777067166566682e-07,1.7136335372924805e-07,0.0,1.1175870895385742e-07,1.5769906706002895e-07,7.947285970052083e-08,1.9868214925130204e-08,0,10,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,25,275,-1.7508864402770996e-07,1.1175870895385742e-07,0.0,0.0,1.1175870895385742e-07,0.0,1.1175870895385742e-07,0.0,1.1175870895385742e-07,0.0,0.0,0.0,0,11,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,25,275,-2.682209014892578e-07,-1.4901161193847656e-07,0.0,0.0,-1.4901161193847656e-07,0.0,-1.4901161193847656e-07,0.0,-1.4901161193847656e-07,0.0,0.0,0.0,0,11,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,-2.086162567138672e-07,-8.443991343180339e-08,1.777067166566682e-07,0.0,-8.443991343180339e-08,1.777067166566682e-07,-1.6391277313232422e-07,0.0,-1.6391277313232422e-07,0.0,7.947285970052083e-08,7.947285970052083e-08,0,11,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,25,275,1.601874828338623e-07,3.725290298461914e-09,0.0,0.0,3.725290298461914e-09,0.0,3.725290298461914e-09,0.0,3.725290298461914e-09,0.0,0.0,0.0,0,12,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,25,275,1.341104507446289e-07,-2.5331974029541016e-07,0.0,0.0,-2.5331974029541016e-07,0.0,-2.682209014892578e-07,0.0,-2.5331974029541016e-07,0.0,1.4901161193847656e-08,0.0,0,12,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,1.4156103134155273e-07,-2.2351741790771484e-07,0.0,0.0,-2.2351741790771484e-07,0.0,-2.2351741790771484e-07,0.0,-2.2351741790771484e-07,0.0,0.0,0.0,0,12,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,25,275,-2.7567148208618164e-07,-2.446273962656657e-07,2.247831920581015e-07,0.0,-2.446273962656657e-07,2.247831920581015e-07,-4.0357311566670734e-07,2.247831920581015e-07,-3.241002559661865e-07,2.384185791015625e-07,1.5894571940104163e-07,7.947285970052082e-08,0,13,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
