layer,order_k,subset_mask,primary_score_mean,primary_critic_seed_sd,primary_score_min,primary_score_max,mean_best_val,mean_best_step,random_null_mean,random_null_sd_across_derangements,random_null_min,random_null_max,random_null_derangements_ge_primary,n_derangements,primary_minus_random_null_mean
15,2,10,-0.02158492337912321,0.027295742231488902,-0.05039238929748535,0.003893780211607615,0.008345995447598398,125.0,-0.0010558297236760458,0.0004961957764223053,-0.0015721966822942097,-0.0002868788109885322,5,5,-0.020529093655447164
15,2,12,-0.08358395803305839,0.19942534433611517,-0.30921584243575734,0.06908367822567622,0.12725707391897836,275.0,-0.0018919975393348269,0.0010800507544463942,-0.0036265307830439675,-0.0010945714182323879,5,5,-0.08169196049372356
15,3,7,-0.0018049933844142489,0.0009638780820506495,-0.002822446326414744,-0.0009055584669113159,-0.004181089500586192,33.333333333333336,-0.0014376026060846116,0.0006238180468262274,-0.0023849807265732023,-0.000802476993865437,4,5,-0.0003673907783296373
15,3,11,-0.0016448503981033962,0.00040588666735724536,-0.0019267381479342778,-0.001179640491803487,-0.0037048899879058204,25.0,-0.0005632069168819322,0.000251730368803023,-0.0009621132372154131,-0.00027307205730014376,5,5,-0.001081643481221464
15,3,13,-0.8077421403593487,0.36157498282918304,-1.1495132048924763,-0.42917687197526294,0.0855442186196645,300.0,-0.0011166835824648537,0.0006290748420265822,-0.0021663527521822187,-0.0005145801438225639,5,5,-0.8066254567768838
15,3,14,0.0006557429830233256,0.0007872014435259591,8.547802766164143e-05,0.0015538881222407024,-0.0011832801004250844,50.0,-0.0013662521779123278,0.002047183578144303,-0.005023912837107976,-0.0003448174231582218,0,5,0.002021995160935653
15,4,15,-0.004696401456991832,0.0058464315182991545,-0.011426771680514017,-0.0008758604526519775,-0.004879351705312729,50.0,-0.0024076854189236958,0.0006738353844108722,-0.003259877363840739,-0.00165310295091735,5,5,-0.002288716038068136
30,1,1,-0.00238293492131763,0.0015743444183162834,-0.003319576382637024,-0.000565322736899058,-0.006925697127978007,41.666666666666664,-0.0022399352656470406,0.00044459520994467834,-0.0028985059923595847,-0.0018083502848943074,3,5,-0.00014299965567058943
30,1,2,-0.005152937024831772,0.004125025324355881,-0.009649251898129782,-0.001543457309405009,-0.002912461757659912,33.333333333333336,-0.004500030539929867,0.0014462001391611168,-0.00670486523045434,-0.0031195556124051413,3,5,-0.0006529064849019051
30,1,4,-0.007674346367518107,0.008829552939992458,-0.01786281665166219,-0.0022525290648142495,-0.0031835312644640603,58.333333333333336,-0.0040179627637068425,0.001066954574091258,-0.005725234746932983,-0.0029040401180585227,5,5,-0.003656383603811265
