family,layer,order_k,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,subset_masks,null_cube_shift,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
primary,9,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.6142973303794861,-0.5239958763122559,0.023899129051269938,0.3458660840988159
primary,9,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,475,725,0.6273544430732727,-0.9851943651835123,0.03292269445758872,0.5897507667541504
primary,9,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,500,750,0.5221914052963257,-0.852132519086202,0.024097929784347504,0.3477487564086914
primary,9,4,11,2560,1,8210,7352,245,613,15,0,175,425,0.02639709785580635,-0.0869097833832105,0.013933879296819907,0.016610153019428253
primary,9,4,23,2560,1,8210,7352,245,613,15,0,125,375,0.016915462911128998,-0.09033235907554626,0.008178604208858273,0.001488417387008667
primary,9,4,37,2560,1,8210,7352,245,613,15,0,200,450,0.0542682409286499,-0.21933443347613016,0.012349137090428647,0.024339646100997925
primary,10,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,875,1000,1.8814643323421478,-0.17573992411295572,0.0803358608167052,5.0456695556640625
primary,10,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,675,925,1.6115384101867676,0.15359151363372803,0.07369305741945022,4.362002372741699
primary,10,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,1.5283418893814087,0.5204336047172546,0.07017697368560413,3.4869470596313477
primary,10,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,475,725,1.1556613445281982,0.30196261405944824,0.05946053019507999,2.0432610511779785
primary,10,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,675,925,1.2066072225570679,-0.17389428615570068,0.08387477218887483,2.542649269104004
primary,10,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,475,725,1.236108660697937,-0.018444339434305828,0.051319738871108155,2.181004047393799
primary,10,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,575,825,0.7885913848876953,-1.0613922675450642,0.05454874429083359,0.5777403116226196
primary,10,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,425,675,0.7484804391860962,-0.9503793319066366,0.0768700610668592,0.461708664894104
primary,10,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.6924324035644531,-0.41494518518447876,0.0420280872485882,0.41661959886550903
primary,10,4,11,2560,1,8210,7352,245,613,15,0,175,425,0.014441167237237096,-0.11953925589720409,0.024692900058581192,-0.015307486057281494
primary,10,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.0017248541116714478,-0.0007677525281906128,0.0002224837561942808,-0.00040021538734436035
primary,10,4,37,2560,1,8210,7352,245,613,15,0,200,450,-0.00014176219701766968,-0.21882634361584982,0.015196712767689417,0.02035258710384369
primary,11,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,0.8940205574035645,0.342227836449941,0.024769062832719825,3.2387778759002686
primary,11,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,475,725,1.057785376906395,0.4441366990407308,0.12126146138987405,3.2299365997314453
primary,11,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,1.0863244533538818,0.6233930786450704,0.04947286925016977,3.4106483459472656
primary,11,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,475,725,1.1429002285003662,0.02985153595606486,0.08333829575625981,1.9777522087097168
primary,11,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,1.438051462173462,-0.040707667668660484,0.12335731338305153,2.4460413455963135
primary,11,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,1.3048309087753296,-0.2649843692779541,0.08763710227866399,2.4529292583465576
primary,11,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,375,625,0.6520353555679321,-0.7817226648330688,0.04325567392493379,0.404762864112854
primary,11,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,425,675,0.724597156047821,-0.8538338343302408,0.04365473650138627,0.45950376987457275
primary,11,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,350,600,0.6253843307495117,-0.592498262723287,0.03449922476776484,0.41829073429107666
primary,11,4,11,2560,1,8210,7352,245,613,15,0,25,275,-0.0036703513469547033,-0.0029945249358812966,0.00024688216684263945,-0.0001411139965057373
primary,11,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.0023881345987319946,-0.0013379653294881184,0.0004897621097536989,-9.302794933319092e-05
primary,11,4,37,2560,1,8210,7352,245,613,15,0,50,300,-0.0027346014976501465,-0.0011037538448969524,0.0002352783374314567,-9.223073720932007e-05
primary,12,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,1.2979413270950317,0.38493943214416504,0.09213328092635951,3.964634895324707
primary,12,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,1.0087498128414154,0.7698695659637451,0.2796444279623179,3.3986330032348633
primary,12,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,475,725,0.9429577887058258,0.16844964027404785,0.04813721884282902,3.488469362258911
primary,12,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,450,700,1.0357487201690674,0.14994974931081137,0.060793904693780335,2.162717819213867
primary,12,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,1.3625478744506836,-0.06106122334798177,0.06778313220581972,2.4487738609313965
primary,12,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,1.3205080032348633,-0.19202899932861328,0.11572675740069994,2.4045116901397705
primary,12,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.550278902053833,-0.35689910252888996,0.036803854336818265,0.35856103897094727
primary,12,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,450,700,0.7251713871955872,-0.8783120711644491,0.06360341879844042,0.4252431392669678
primary,12,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.6360850930213928,-0.29659102360407513,0.04308963642203574,0.3791819214820862
primary,12,4,11,2560,1,8210,7352,245,613,15,0,25,275,-0.004924245178699493,-0.007118628049890201,0.00018052861409182188,-0.00022932514548301697
primary,12,4,23,2560,1,8210,7352,245,613,15,0,25,275,-0.002644091844558716,-0.0016830762227376301,9.814302912896886e-05,-3.0547380447387695e-06
primary,12,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.0023425742983818054,-0.001446781059106191,0.0001725238456057738,-2.3759901523590088e-05
primary,13,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,400,650,0.7008066177368164,0.6832915743192037,0.11941207233534883,2.67500376701355
primary,13,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,475,725,0.8164375424385071,0.36601052681605023,0.06355105767106348,3.3825979232788086
primary,13,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,475,725,1.1633564233779907,0.3955720067024231,0.15896295006991548,3.5367934703826904
primary,13,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,450,700,1.2682477235794067,0.11152901252110799,0.05236224063870008,1.7098770141601562
primary,13,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,600,850,1.289109230041504,-0.18268718322118124,0.11561353341425144,2.779463052749634
primary,13,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,875,1000,1.4135395288467407,-0.403642733891805,0.08016975631317694,3.1818745136260986
primary,13,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,400,650,0.6171631217002869,-0.742416779200236,0.04460974280388193,0.4908335208892822
primary,13,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,400,650,0.5122780874371529,-0.7891111771265665,0.053783495470923315,0.25104284286499023
primary,13,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,375,625,0.6600796580314636,-0.5743430654207865,0.04540412272289469,0.42125970125198364
primary,13,4,11,2560,1,8210,7352,245,613,15,0,50,300,-0.003664103802293539,-0.0030840495601296425,0.00030445769385104146,-1.6783829778432846e-05
